Date,Fiscal Quarter,IQ_NI_CF,IQ_TOTAL_REV,IQ_AR,IQ_GP ,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_AP,IQ_LT_DEBT,IQ_ST_DEBT,IQ_ST_DEBT_REPAID,IQ_LT_DEBT_REPAID,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_NET_CHANGE,IQ_PERIODDATE_BS,IQ_FULL_TIME,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV,IQ_CASH_OPER,IQ_TOTAL_DIV_PAID_CF,IQ_CASH_FINAN,IQ_CAPITAL_LEASES,IQ_INVEST_SECURITY_CF,IQ_NI,CQID 
2016-10-02,FQ32016,4272.0,17820.0,11798.0,12334.0,63319.0,140369.0,5971.0,23855.0,3443.0,0.0,0.0,23230.0,67600.0,27298.0,-435.0,42645,0,72769.0,18205.0,5361.0,-2185.0,-3445.0,0.0,1496.0,4272.0,IQ139677
2017-01-01,FQ42016,3814.0,18106.0,11699.0,12617.0,65032.0,141208.0,6918.0,22824.0,2980.0,0.0,0.0,26287.0,70790.0,27508.0,767.0,42736,126400,70418.0,18972.0,6653.0,-2170.0,-3464.0,0.0,-930.0,3814.0,IQ139677
2017-04-02,FQ12017,4422.0,17766.0,12300.0,12357.0,63347.0,144918.0,6082.0,27360.0,5355.0,-195.0,-2.0,25119.0,74577.0,32715.0,1937.0,42827,0,70341.0,20909.0,2913.0,-2171.0,-150.0,0.0,4444.0,4422.0,IQ139677
2017-07-02,FQ22017,3827.0,18839.0,13283.0,12993.0,38789.0,152807.0,6135.0,27636.0,7209.0,0.0,0.0,28872.0,80885.0,34845.0,-8311.0,42918,0,71922.0,12598.0,5772.0,-2262.0,-1917.0,0.0,17649.0,3827.0,IQ139677
2017-10-01,FQ32017,3764.0,19650.0,13155.0,12725.0,41829.0,155658.0,6390.0,26885.0,8491.0,0.0,0.0,31806.0,81679.0,35376.0,3123.0,43009,0,73979.0,15721.0,6266.0,-2254.0,-2069.0,0.0,-380.0,3764.0,IQ139677
2017-12-31,FQ42017,-10713.0,20195.0,13490.0,13436.0,43088.0,157303.0,7310.0,30684.0,2407.0,0.0,0.0,30537.0,97143.0,34590.0,2103.0,43100,134000,60160.0,17824.0,6105.0,-2256.0,-3537.0,0.0,251.0,-10713.0,IQ139677
2018-04-01,FQ12018,4367.0,20009.0,14166.0,13395.0,42768.0,156625.0,6443.0,29851.0,2696.0,-2484.0,-8.0,27081.0,93370.0,32547.0,-3185.0,43191,0,63255.0,14639.0,3606.0,-2253.0,-5970.0,0.0,-207.0,4367.0,IQ139677
2018-07-01,FQ22018,3954.0,20830.0,14111.0,13903.0,45438.0,155365.0,6516.0,29405.0,2678.0,0.0,0.0,27488.0,92476.0,32083.0,2930.0,43282,0,62889.0,17569.0,6079.0,-2415.0,-2674.0,0.0,-1.0,3954.0,IQ139677
2018-09-30,FQ32018,3934.0,20348.0,14048.0,13759.0,47194.0,155703.0,7000.0,29486.0,1773.0,0.0,0.0,27437.0,91077.0,31259.0,-1513.0,43373,0,64626.0,16056.0,6272.0,-2415.0,-3477.0,0.0,-2785.0,3934.0,IQ139677
2018-12-30,FQ42018,3042.0,20394.0,14098.0,13433.0,46033.0,152954.0,7537.0,27687.0,160.0,0.0,0.0,31230.0,93202.0,30483.0,2051.0,43464,135100,59752.0,18107.0,6244.0,-2411.0,-6389.0,0.0,1656.0,3042.0,IQ139677
