year,ID,lead_rating,rating,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV
2014,BIO,0.0,0.0,10.587499999999977,2.7637500000000017,-21.198249999999973,2.909749999999974,6.902250000000549,-4.32374999999999,-100.92550000000006,-148.89099999999996,80.84650000000002,107.82775000000038,57.012249999999995
2012,BA,0.0,0.0,3240.75,-29.5,-195.75,41.25,9830.5,846.5,8290.25,-912.0,-444.25,1540.25,805.75
2013,BA,0.0,0.0,1231.25,-100.75,614.75,80.5,8871.0,902.0,5222.25,-1610.0,-61.75,3648.75,1553.0
2014,BA,0.0,0.0,1034.75,487.25,1172.0,163.75,13.0,793.5,-3234.0,-553.0,-1217.25,3247.0,-823.75
2012,BMY,0.0,0.0,-905.75,-437.25,-615.75,-663.5,2087.0,-131.5,3275.25,887.5,-419.0,-1188.25,-2262.5
2013,BMY,0.0,0.0,-309.0,150.75,197.0,-381.0,2897.5,161.0,3291.0,1280.25,816.25,-393.5,66.5
2014,BMY,0.0,0.0,-126.5,-139.75,3.25,138.75,-3370.0,128.0,-4138.0,44.75,-342.25,768.0,2849.0
2013,BF.B,1.0,1.0,31.774999999999977,19.5,44.825000000000045,40.275000000000034,67.25000000000045,20.07499999999999,218.875,123.27499999999998,21.5,-151.62499999999977,-111.17500000000001
2014,BF.B,1.0,1.0,35.0,17.0,32.700000000000045,30.5,204.69999999999982,1.1750000000000114,241.8499999999999,182.95000000000005,72.0,-37.15000000000009,-46.94999999999999
2013,CI,0.0,0.0,636.5,485.5,1607.75,368.75,7040.0,76.0,791.5,-344.25,634.75,6248.5,-1225.25
2014,CI,-2.0,-2.0,-366.25,-532.5,296.75,-307.25,4699.5,99.0,3875.0,2513.5,-972.0,824.5,-276.75
2012,CSX,-1.0,-1.0,5.0,10.25,61.5,32.25,1388.5,29.25,1105.25,598.5,186.25,283.25,-100.75
2013,CSX,-1.0,-1.0,65.75,0.25,-154.75,13.5,1191.0,-76.25,237.0,72.5,-141.0,954.0,-61.0
2014,CSX,-1.0,-1.0,160.75,15.75,108.0,56.5,1284.75,-98.5,163.5,153.75,37.25,1121.25,-76.5
2013,CPB,2.0,2.0,58.75,-7.75,98.25,-0.25,1870.25,39.0,1810.0,1511.75,446.5,60.25,58.0
2014,CPB,1.0,1.0,484.75,-30.75,-25.0,133.0,-216.25,-65.0,-507.0,-214.5,-285.5,290.75,-126.25
2013,STZ,-1.0,-1.0,35.44999999999993,-14.299999999999997,-2.9750000000000227,13.024999999999977,641.0750000000007,41.900000000000006,684.75,651.8500000000004,119.09999999999998,-43.67500000000018,153.65
2014,STZ,0.0,0.0,517.9,388.82500000000005,112.19999999999993,222.89999999999998,5301.025,109.14999999999998,3619.6749999999993,2940.9500000000007,968.9250000000001,1681.3499999999995,18.899999999999977
2013,CAH,-1.0,-1.0,-1614.75,-204.5,61.149999999999636,95.25,1413.925000000003,-37.274999999999636,1038.3499999999985,818.0750000000003,-132.25,375.5750000000007,102.07499999999982
2014,CAH,0.0,0.0,-2502.25,294.25,-1334.75,60.0,-611.25,-906.0,-659.0,478.5,54.0,47.75,624.75
2012,CAT,0.0,0.0,1434.25,188.25,866.5,477.0,13261.5,757.0,10302.25,5590.5,-90.0,2959.25,-1060.0
2013,CAT,0.0,0.0,-2554.75,-473.0,-1054.0,-949.0,-992.75,-1539.25,-3013.0,514.0,-2029.25,2020.25,982.5
2014,CAT,0.0,0.0,-118.0,-23.5,-1006.5,84.5,-1723.25,370.0,-2214.0,-95.25,378.75,490.75,1380.25
2012,JPM,1.0,1.0,499.5,577.0,0.0,499.5,72694.5,92481.75,58878.0,-22146.5,-4999.75,13816.5,8915.0
2013,JPM,1.0,1.0,1180.75,-840.25,0.0,1180.75,104276.5,98614.75,91884.0,-18809.0,-14845.75,12392.5,-15355.5
2014,JPM,0.0,0.0,-1102.0,955.5,0.0,-1102.0,97190.0,81013.5,78240.0,-14793.75,22476.0,18950.0,-10917.0
2012,CVX,0.0,0.0,-3426.75,-179.0,-825.25,-1156.0,21022.25,1001.5,6389.25,261.0,697.25,14633.0,6438.75
2013,CVX,0.0,0.0,-2728.75,-1189.0,136.75,-1091.0,22233.5,-371.0,9113.25,7271.25,1289.75,13120.25,-2767.25
2014,CVX,0.0,0.0,-4839.0,-545.5,-1811.0,-1159.25,17172.75,-353.5,7696.5,6752.5,-294.5,9476.25,-3673.0
2012,CB,0.0,0.0,-349.28949999999986,-24.151250000000005,142.07774999999992,-140.99849999999998,996.098750000001,44.18225000000001,777.5550000000003,432.98925000000054,-189.775,218.54374999999982,91.29150000000027
2013,CB,0.0,0.0,669.13525,43.49525,147.43074999999976,272.7794999999999,-320.64849999999933,87.61950000000002,-608.4850000000006,-761.0517500000005,-204.6265,287.8365000000001,-325.49200000000025
2014,CB,0.0,0.0,466.2809999999997,41.99125000000001,312.3599999999999,110.81275000000005,750.3539999999994,112.60449999999992,376.0490000000009,47.57049999999981,158.553,374.30500000000006,41.904250000000104
2013,CHD,-1.0,-1.0,68.10000000000002,11.150000000000006,47.37499999999994,35.875,595.2999999999997,47.775000000000034,438.2500000000002,231.32499999999982,-141.25,157.04999999999973,118.82499999999999
2014,CHD,-1.0,-1.0,25.825000000000045,4.874999999999986,4.375000000000057,3.625,47.19999999999982,-121.85000000000002,157.27500000000032,120.65000000000009,-11.699999999999989,-110.07499999999982,-46.5
2013,CTAS,1.0,1.0,53.617750000000115,4.451250000000002,38.15750000000003,12.514749999999935,43.74275000000125,9.311499999999995,40.26000000000022,24.25499999999988,51.12925,3.482749999999669,53.888750000000016
2014,CTAS,0.0,0.0,38.27350000000001,14.75,35.16975000000002,21.24675000000002,150.60499999999956,9.016750000000002,97.08575000000019,-6.292500000000018,-43.419250000000005,53.519250000000284,79.67599999999999
2013,CLX,0.0,0.0,38.75,7.5,26.75,27.0,243.75,19.5,31.25,-109.5,-83.0,212.5,174.25
2014,CLX,0.0,0.0,-27.25,29.75,-14.0,-14.0,-190.5,1.25,-218.0,-191.5,-13.75,27.5,-119.25
2012,KO,0.0,0.0,368.75,108.75,-40.25,157.75,5999.75,491.0,6208.5,4685.25,-278.25,-208.75,-1667.0
2013,KO,-1.0,-1.0,-290.75,-108.75,114.75,-132.75,3893.5,219.25,4187.25,3787.5,-99.5,-293.75,510.5
