year,ID,rating,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV
2013,ROST,-0.7887436934406117,0.12896809463172274,0.04303668999735749,-0.0639020763657504,0.23693044409244926,-0.2431471235860465,-0.13056009742567093,-0.20903594373787085,-0.018588645501275373,-0.008524642478316363,-0.21186295382011366,0.03535995835419792
2014,ROST,-0.514868447188162,0.015053168870420425,0.0025169600050744547,-0.06348632116644404,-0.00850545333573417,-0.2530716379737128,-0.14318847202637802,-0.2217769734169274,-0.018588645501275373,-0.01854452987209657,-0.20814658681856937,-0.001314680647996749
2012,SEE,1.9500087904461911,0.668491136755361,-0.8479611722638812,0.12844686571918743,0.5944339691996889,0.031937634807457614,-0.11417091338988597,0.17394852545828035,0.37989880350609223,-0.060543759747093244,-0.4025084316500359,-0.0002286979480922444
2013,SEE,0.9914454137733409,-0.05623978652694598,0.763970807695276,-0.09040823475662844,-0.061344214644588946,-0.39350962648864096,-0.14891324612269385,-0.2677915418867351,-0.0709902745314472,0.02487311600616228,-0.5500185700129027,0.05070295116506664
2014,SEE,-1.336494194161778,-0.06981173875489763,0.0444242185746118,-0.18896686479329144,-0.04168706766908429,-0.3634367853323447,-0.13645006807944,-0.316293842005198,-0.0016101918581440588,-0.0068482963024846955,-0.3053843506919904,-0.0331980225807463
2012,SHW,0.1698196717294771,0.06403206044688432,0.07357615810278435,-0.03333131099371954,0.11126392333203192,-0.2556176916663534,-0.14149118580441572,-0.20062583287852945,0.0013713363172547575,0.07008957490575579,-0.27892924110274,0.05117623501731049
2013,SHW,0.1698196717294771,0.04181615260871585,0.03890229564784387,-0.044274066017510307,0.088794359604398,-0.2149974457303318,-0.1388288775249853,-0.16962082810533563,0.05122216312417172,-0.1200262565131589,-0.23202979397971868,0.10013483617570898
2014,SHW,0.1698196717294771,0.09711024910504594,0.034698704269172535,-0.04089829449846231,0.13964814308726245,-0.311745033905076,-0.13104610541794123,-0.21575461761273046,-0.024537582233324546,-0.06742859586893248,-0.42514220649837614,-0.05629256832940338
2013,SJM,0.1698196717294771,-0.010880396813777666,0.0199233445469955,-0.06586792851603551,-0.02487561012210507,-0.27441481809519314,-0.14392346382243051,-0.2073590779218233,-0.00359097265968127,-0.0921052153595731,-0.32300034367172825,0.0233041789131883
2014,SJM,0.1698196717294771,-0.1352742287778969,-0.012624887686344137,-0.0710370175779782,-0.09019512746609751,-0.28932334111635105,-0.1484565077152221,-0.2289582228172753,-0.0043479626593286745,0.0004797198406726448,-0.310192042830957,0.0020123450081858964
2012,KEY,0.1698196717294771,-0.1373317291851943,-0.055168246353543976,-0.06690053022546447,-0.22131574036506352,-0.4434675520425852,0.1910580519096012,-0.45744514444478374,-0.6204567897252351,0.18947855365566516,-0.16258657741015017,0.014832297167425235
2013,KEY,0.1698196717294771,-0.057674373966896265,-0.13615439899712922,-0.06690053022546447,-0.03656482669773912,0.021214038825488057,0.42521473029800755,0.1137446581844649,-0.10590529880419709,0.3979221233484762,-0.26207840972642016,0.022571575250207875
2014,KEY,0.1698196717294771,-0.06748997224024104,0.015566494563005155,-0.06690053022546447,-0.05933034212594023,-0.21975467630608925,0.04114322510985537,-0.17731114949837432,0.023886581227600366,-0.0841473697252576,-0.2255980712104545,0.009756770610809642
2012,EIX,0.1698196717294771,0.15940135707822867,-0.09822417560709562,-0.0588655642425262,0.042676678927345515,-0.1734817806650684,-0.13978966825657452,-0.1074220497282392,0.14506704542943397,-0.051756138751410705,-0.2737243528890223,0.026927168961913456
