year,ID,lead_rating
2012,EOG,0.0
2013,EOG,0.0
2014,EOG,0.0
2012,SIVB,-1.0
2013,SIVB,0.0
2014,SIVB,0.0
2013,CSCO,0.0
2014,CSCO,-1.0
2013,HOLX,1.0
2014,HOLX,1.0
2014,CFG,1.0
2012,HCA,0.0
2013,HCA,0.0
2014,HCA,0.0
2013,AZO,0.0
2014,AZO,0.0
2012,AES,-1.0
2013,AES,1.0
2014,AES,0.0
2012,BIIB,0.0
2013,BIIB,0.0
2014,BIIB,-1.0
2012,KIM,0.0
2013,KIM,0.0
2014,KIM,0.0
2013,GILD,0.0
2014,GILD,0.0
2012,ROP,0.0
2013,ROP,-1.0
2014,ROP,-1.0
2012,MHK,0.0
2013,MHK,-1.0
2014,MHK,-1.0
2012,BSX,0.0
2013,BSX,0.0
2014,BSX,0.0
2013,DHI,0.0
2014,DHI,-1.0
2013,SBUX,-1.0
2014,SBUX,-1.0
2012,HUM,-1.0
2013,HUM,-1.0
2014,HUM,-1.0
2013,INTU,0.0
2014,INTU,-1.0
2013,ORLY,-1.0
2014,ORLY,0.0
2012,CDW,-1.0
2013,CDW,-1.0
2014,CDW,-2.0
2012,ALL,0.0
2013,ALL,0.0
2014,ALL,0.0
2013,FLIR,0.0
2014,FLIR,-1.0
2013,EQR,0.0
2014,EQR,0.0
2013,BWA,-1.0
2014,BWA,-1.0
2012,MAR,-1.0
2013,MAR,0.0
2014,MAR,0.0
2013,COST,0.0
2014,COST,0.0
2012,REG,0.0
2013,REG,0.0
2014,REG,0.0
2013,SPG,0.0
2014,SPG,-1.0
2012,EMN,0.0
2013,EMN,0.0
2014,EMN,0.0
2012,MLM,0.0
2013,MLM,1.0
2014,MLM,1.0
2012,ALB,-1.0
2013,ALB,-1.0
2014,ALB,0.0
2013,AVB,0.0
2014,AVB,0.0
2012,PLD,0.0
2013,PLD,0.0
2014,PLD,-1.0
2013,O,0.0
2014,O,-1.0
2013,ABC,0.0
2014,ABC,0.0
2013,DRI,0.0
2014,DRI,1.0
2012,DISH,0.0
2013,DISH,0.0
2014,DISH,0.0
2012,DVA,0.0
2013,DVA,0.0
2014,DVA,0.0
2013,EL,0.0
2014,EL,-1.0
2014,NTAP,0.0
2012,HIG,0.0
2013,HIG,0.0
2014,HIG,0.0
2012,IRM,0.0
2013,IRM,0.0
2014,IRM,0.0
2012,NOV,0.0
2013,NOV,-1.0
2014,NOV,-1.0
2012,DGX,0.0
2013,DGX,0.0
2014,DGX,0.0
2013,AMZN,-2.0
2014,AMZN,0.0
2013,ARE,0.0
2014,ARE,0.0
2013,RL,-1.0
2014,RL,-1.0
2013,BXP,0.0
2014,BXP,0.0
2012,SLG,0.0
2013,SLG,0.0
2014,SLG,0.0
2012,MTD,0.0
2012,AMT,0.0
2013,AMT,0.0
2014,AMT,-1.0
2012,RSG,0.0
2013,RSG,0.0
2014,RSG,-1.0
2012,CCI,0.0
2013,CCI,0.0
2014,CCI,-1.0
2012,EBAY,-1.0
2013,EBAY,0.0
2014,EBAY,0.0
2012,GS,1.0
2013,GS,1.0
2014,GS,0.0
2013,SBAC,0.0
2014,SBAC,-1.0
2013,JNPR,0.0
2014,JNPR,0.0
2012,BLK,0.0
2013,BLK,0.0
2014,BLK,0.0
2012,CHTR,0.0
2013,CHTR,0.0
2014,CHTR,0.0
2012,EXPE,0.0
2013,EXPE,0.0
2014,EXPE,0.0
2013,A,-2.0
2014,A,0.0
2012,PKG,0.0
2013,PKG,0.0
2014,PKG,0.0
2012,MET,0.0
2013,MET,0.0
2014,MET,0.0
2012,NRG,0.0
2013,NRG,0.0
2014,NRG,0.0
2012,EQIX,-1.0
2013,EQIX,-1.0
2014,EQIX,-1.0
2012,MCO,0.0
2013,MCO,0.0
2014,MCO,0.0
2012,MDLZ,1.0
2013,MDLZ,0.0
2014,MDLZ,0.0
2012,PRU,0.0
2013,PRU,0.0
2014,PRU,0.0
2012,ANTM,0.0
2013,ANTM,0.0
2014,ANTM,0.0
2012,CNC,-1.0
2013,CNC,-1.0
2014,CNC,0.0
2012,PFG,1.0
2013,PFG,-1.0
2014,PFG,-1.0
2013,AAP,0.0
2014,AAP,0.0
2012,NFLX,-2.0
2013,NFLX,2.0
2014,NFLX,0.0
2012,LIN,-1.0
