,IQ Name,IQID,IQ_TOTAL_REV,IQ_NI_CF,IQ_AR,IQ_GP ,IQ_TOTAL_ASSETS,IQ_AP,IQ_TOTAL_LIAB,IQ_TOTAL_DEBT,IQ_CASH_FINAN,IQ_TOTAL_EQUITY,IQ_CASH_EQUIV,year,quarter
3856,CMS Energy Corporation,IQ257682,1758.0,96.0,1016.0,519.0,19185.0,688.0,15478.0,8739.0,-208.0,3707.0,207.0,2014,4
3857,CMS Energy Corporation,IQ257682,2111.0,202.0,1021.0,700.0,19198.0,521.0,15359.0,8803.0,-23.0,3839.0,522.0,2015,1
3858,CMS Energy Corporation,IQ257682,1350.0,67.0,794.0,433.0,19238.0,564.0,15383.0,8672.0,-187.0,3855.0,477.0,2015,2
3859,CMS Energy Corporation,IQ257682,1486.0,148.0,781.0,549.0,19452.0,594.0,15513.0,8823.0,73.0,3939.0,150.0,2015,3
3860,CMS Energy Corporation,IQ257682,1509.0,106.0,913.0,493.0,20299.0,642.0,16324.0,9473.0,600.0,3975.0,266.0,2015,4
3861,CMS Energy Corporation,IQ257682,1801.0,164.0,876.0,651.0,20037.0,543.0,15891.0,9234.0,-270.0,4146.0,177.0,2016,1
3862,CMS Energy Corporation,IQ257682,1371.0,124.0,757.0,511.0,20463.0,568.0,16270.0,9514.0,198.0,4193.0,385.0,2016,2
3863,CMS Energy Corporation,IQ257682,1587.0,186.0,792.0,630.0,20842.0,548.0,16546.0,9912.0,309.0,4296.0,339.0,2016,3
3864,CMS Energy Corporation,IQ257682,1640.0,77.0,1013.0,566.0,21622.0,610.0,17332.0,10034.0,18.0,4290.0,235.0,2016,4
3865,CMS Energy Corporation,IQ257682,1829.0,199.0,973.0,731.0,21623.0,488.0,17216.0,10045.0,-94.0,4407.0,433.0,2017,1
3866,CMS Energy Corporation,IQ257682,1449.0,92.0,871.0,504.0,21867.0,608.0,17381.0,10030.0,-35.0,4486.0,418.0,2017,2
3867,CMS Energy Corporation,IQ257682,1527.0,172.0,840.0,585.0,22120.0,632.0,17548.0,10331.0,200.0,4572.0,142.0,2017,3
3868,CMS Energy Corporation,IQ257682,1778.0,-3.0,1242.0,683.0,23050.0,740.0,18572.0,10487.0,39.0,4478.0,182.0,2017,4
3869,CMS Energy Corporation,IQ257682,1953.0,241.0,1216.0,729.0,22868.0,540.0,18235.0,10368.0,-229.0,4633.0,195.0,2018,1
3870,CMS Energy Corporation,IQ257682,1492.0,139.0,928.0,527.0,23312.0,629.0,18603.0,10569.0,118.0,4709.0,477.0,2018,2
3871,CMS Energy Corporation,IQ257682,1599.0,169.0,962.0,567.0,23913.0,689.0,19127.0,11194.0,523.0,4786.0,323.0,2018,3
3872,CMS Energy Corporation,IQ257682,1829.0,108.0,1227.0,575.0,24529.0,733.0,19737.0,11777.0,462.0,4792.0,153.0,2018,4
3873,CMS Energy Corporation,IQ257682,2059.0,213.0,1279.0,763.0,24793.0,550.0,19898.0,12122.0,150.0,4895.0,234.0,2019,1
3874,CMS Energy Corporation,IQ257682,1445.0,93.0,1023.0,505.0,25292.0,636.0,20404.0,12450.0,234.0,4888.0,312.0,2019,2
3875,CMS Energy Corporation,IQ257682,1546.0,207.0,897.0,636.0,26009.0,607.0,21015.0,13243.0,691.0,4994.0,403.0,2019,3
3876,CMS Energy Corporation,IQ257682,1795.0,167.0,1145.0,660.0,26837.0,635.0,21782.0,13293.0,-67.0,5055.0,140.0,2019,4
3877,CMS Energy Corporation,IQ257682,1864.0,243.0,1151.0,798.0,27447.0,497.0,22225.0,14337.0,1062.0,5222.0,834.0,2020,1
3878,CMS Energy Corporation,IQ257682,1443.0,136.0,1021.0,571.0,28581.0,635.0,23330.0,15225.0,757.0,5251.0,1587.0,2020,2
3879,CMS Energy Corporation,IQ257682,1575.0,218.0,941.0,672.0,29280.0,667.0,23382.0,15135.0,-264.0,5898.0,519.0,2020,3
3880,CMS Energy Corporation,IQ257682,1798.0,158.0,1157.0,728.0,29666.0,678.0,23589.0,15230.0,64.0,6077.0,168.0,2020,4
3881,CSX Corporation,IQ257948,2816.0,430.0,993.0,1103.0,28141.0,1046.0,19441.0,8664.0,381.0,8700.0,1292.0,2010,4
3882,CSX Corporation,IQ257948,2810.0,395.0,1068.0,1016.0,27577.0,1024.0,18821.0,8140.0,-888.0,8756.0,534.0,2011,1
3883,CSX Corporation,IQ257948,3019.0,506.0,1112.0,1172.0,28705.0,1076.0,19764.0,8680.0,192.0,8941.0,1252.0,2011,2
3884,CSX Corporation,IQ257948,2963.0,464.0,1148.0,1129.0,28248.0,1170.0,19980.0,8654.0,-1200.0,8268.0,580.0,2011,3
3885,CSX Corporation,IQ257948,2951.0,457.0,1000.0,1077.0,29344.0,1018.0,20876.0,9241.0,483.0,8468.0,783.0,2011,4
3886,CSX Corporation,IQ257948,2966.0,449.0,1161.0,1113.0,29186.0,1205.0,20682.0,9125.0,-523.0,8504.0,627.0,2012,1
3887,CSX Corporation,IQ257948,3012.0,512.0,1136.0,1206.0,29589.0,1055.0,20694.0,9089.0,-180.0,8895.0,642.0,2012,2
3888,CSX Corporation,IQ257948,2894.0,455.0,1163.0,1122.0,29930.0,1197.0,20899.0,9063.0,-366.0,9031.0,693.0,2012,3
3889,CSX Corporation,IQ257948,2891.0,447.0,1114.0,1082.0,30723.0,948.0,21587.0,9832.0,401.0,9136.0,784.0,2012,4
3890,CSX Corporation,IQ257948,2963.0,462.0,976.0,1150.0,30586.0,1043.0,21238.0,9418.0,-545.0,9348.0,705.0,2013,1
3891,CSX Corporation,IQ257948,3046.0,521.0,946.0,1216.0,30881.0,1022.0,21219.0,9375.0,-283.0,9662.0,614.0,2013,2
3892,CSX Corporation,IQ257948,2985.0,455.0,981.0,1117.0,30943.0,1078.0,21075.0,9051.0,-621.0,9868.0,591.0,2013,3
3893,CSX Corporation,IQ257948,3032.0,426.0,1052.0,1094.0,31782.0,957.0,21278.0,9555.0,217.0,10504.0,592.0,2013,4
3894,CSX Corporation,IQ257948,3012.0,398.0,1073.0,1022.0,31680.0,975.0,21035.0,9346.0,-489.0,10645.0,475.0,2014,1
3895,CSX Corporation,IQ257948,3244.0,529.0,1062.0,1284.0,31975.0,900.0,21071.0,9309.0,-325.0,10904.0,573.0,2014,2
3896,CSX Corporation,IQ257948,3221.0,509.0,1123.0,1267.0,32623.0,986.0,21481.0,9617.0,19.0,11142.0,479.0,2014,3
3897,CSX Corporation,IQ257948,3192.0,491.0,1129.0,1230.0,33053.0,845.0,21877.0,9742.0,-288.0,11176.0,669.0,2014,4
3898,CSX Corporation,IQ257948,3027.0,442.0,1103.0,1145.0,33161.0,858.0,21823.0,9741.0,-298.0,11338.0,561.0,2015,1
3899,CSX Corporation,IQ257948,3064.0,553.0,1022.0,1316.0,33777.0,772.0,22200.0,10125.0,59.0,11577.0,438.0,2015,2
3900,CSX Corporation,IQ257948,2939.0,507.0,1003.0,1235.0,34015.0,842.0,22355.0,10106.0,-450.0,11660.0,541.0,2015,3
3901,CSX Corporation,IQ257948,2781.0,466.0,982.0,1147.0,34745.0,764.0,23077.0,10535.0,170.0,11668.0,628.0,2015,4
3902,CSX Corporation,IQ257948,2618.0,356.0,917.0,1017.0,34610.0,815.0,23004.0,10536.0,-692.0,11606.0,731.0,2016,1
3903,CSX Corporation,IQ257948,2704.0,445.0,912.0,1159.0,34550.0,766.0,22925.0,10537.0,-481.0,11625.0,566.0,2016,2
3904,CSX Corporation,IQ257948,2710.0,455.0,925.0,1162.0,34681.0,859.0,23011.0,10519.0,-447.0,11670.0,603.0,2016,3
3905,CSX Corporation,IQ257948,3037.0,458.0,938.0,1302.0,35414.0,806.0,23720.0,11293.0,352.0,11694.0,603.0,2016,4
3906,CSX Corporation,IQ257948,2869.0,362.0,943.0,1186.0,35712.0,898.0,24043.0,11294.0,-430.0,11669.0,930.0,2017,1
3907,CSX Corporation,IQ257948,2933.0,510.0,1015.0,1383.0,35861.0,810.0,24260.0,11825.0,-152.0,11601.0,620.0,2017,2
3908,CSX Corporation,IQ257948,2743.0,459.0,981.0,1189.0,35573.0,905.0,24671.0,11807.0,-1212.0,10902.0,591.0,2017,3
3909,CSX Corporation,IQ257948,2863.0,4140.0,970.0,1341.0,35739.0,847.0,21018.0,11809.0,-385.0,14721.0,401.0,2017,4
3910,CSX Corporation,IQ257948,2876.0,695.0,1045.0,1351.0,37439.0,905.0,23048.0,13787.0,929.0,14391.0,1980.0,2018,1
3911,CSX Corporation,IQ257948,3102.0,877.0,1036.0,1591.0,36924.0,852.0,22901.0,13788.0,-1264.0,14023.0,1320.0,2018,2
3912,CSX Corporation,IQ257948,3129.0,894.0,1090.0,1612.0,36861.0,982.0,23126.0,13772.0,-1222.0,13735.0,663.0,2018,3
3913,CSX Corporation,IQ257948,3143.0,843.0,1010.0,1612.0,36729.0,949.0,24149.0,14757.0,-943.0,12580.0,858.0,2018,4
3914,CSX Corporation,IQ257948,3013.0,834.0,1106.0,1560.0,38154.0,1019.0,25709.0,16321.0,27.0,12445.0,1188.0,2019,1
3915,CSX Corporation,IQ257948,3061.0,870.0,1111.0,1651.0,37924.0,989.0,25634.0,16327.0,-1043.0,12290.0,853.0,2019,2
3916,CSX Corporation,IQ257948,2978.0,856.0,1101.0,1659.0,38795.0,1101.0,26916.0,17290.0,-329.0,11879.0,1521.0,2019,3
3917,CSX Corporation,IQ257948,2885.0,771.0,986.0,1531.0,38257.0,1043.0,26394.0,16788.0,-1303.0,11863.0,958.0,2019,4
3918,CSX Corporation,IQ257948,2855.0,770.0,1008.0,1532.0,38834.0,1058.0,26946.0,17221.0,-285.0,11888.0,1995.0,2020,1
3919,CSX Corporation,IQ257948,2255.0,499.0,860.0,1201.0,38904.0,960.0,26741.0,16987.0,-463.0,12163.0,2391.0,2020,2
3920,CSX Corporation,IQ257948,2648.0,736.0,980.0,1498.0,39443.0,1042.0,26716.0,16967.0,-247.0,12727.0,2898.0,2020,3
3921,CSX Corporation,IQ257948,2825.0,760.0,912.0,1583.0,39793.0,809.0,26683.0,17205.0,-448.0,13110.0,3129.0,2020,4
3922,Bristol-Myers Squibb Company,IQ25798,5111.0,483.0,3061.0,3725.0,31076.0,1983.0,15438.0,5445.0,-1664.0,15638.0,5033.0,2010,4
3923,Bristol-Myers Squibb Company,IQ25798,5011.0,986.0,3186.0,3691.0,30851.0,2036.0,14950.0,5428.0,-692.0,15901.0,3405.0,2011,1
3924,Bristol-Myers Squibb Company,IQ25798,5434.0,902.0,3430.0,3971.0,31833.0,2401.0,15688.0,5525.0,-507.0,16145.0,3665.0,2011,2
3925,Bristol-Myers Squibb Company,IQ25798,5345.0,969.0,3256.0,3957.0,32014.0,2292.0,15578.0,5619.0,-704.0,16436.0,4471.0,2011,3
